run_id,d,density,n_samples,epsilon,delta,k,ds,dp,bic_score,is_true_at_k,found_true_by_k,graph_seed,noise_seed,frontier_size,status,error_message
1,5,0.4,20,1,2,6,0,3,-13.554585583091981,0,0,2195314464,1158725111,6,ok,
1,5,0.4,20,1,2,7,0,0,-13.554585583091981,1,1,2195314464,1158725111,7,ok,
1,5,0.4,20,1,2,8,1,2,-13.708605055640938,0,1,2195314464,1158725111,8,ok,
1,5,0.4,20,1,2,9,1,4,-13.708605055640941,0,1,2195314464,1158725111,9,ok,
1,5,0.4,20,1,2,10,1,1,-13.708605055640941,0,1,2195314464,1158725111,10,ok,
1,5,0.4,20,2,1,1,1,0,-15.485116979243735,0,0,2195314464,1158725111,1,ok,
1,5,0.4,20,2,1,2,0,1,-13.147374921702129,0,0,2195314464,1158725111,2,ok,
1,5,0.4,20,2,1,3,0,2,-13.147374921702125,0,0,2195314464,1158725111,3,ok,
1,5,0.4,20,2,1,4,0,1,-13.554585583091978,0,0,2195314464,1158725111,4,ok,
1,5,0.4,20,2,1,5,0,0,-13.554585583091981,1,1,2195314464,1158725111,5,ok,
1,5,0.4,20,2,1,6,1,2,-13.708605055640938,0,1,2195314464,1158725111,6,ok,
1,5,0.4,20,2,1,7,1,1,-13.708605055640941,0,1,2195314464,1158725111,7,ok,
1,5,0.4,20,2,1,8,2,1,-13.976372706481051,0,1,2195314464,1158725111,8,ok,
1,5,0.4,20,2,1,9,2,0,-13.976372706481055,0,1,2195314464,1158725111,9,ok,
1,5,0.4,20,2,1,10,1,2,-14.098541450679672,0,1,2195314464,1158725111,10,ok,
1,5,0.4,20,2,2,1,1,0,-15.485116979243735,0,0,2195314464,1158725111,1,ok,
1,5,0.4,20,2,2,2,0,2,-13.147374921702125,0,0,2195314464,1158725111,2,ok,
1,5,0.4,20,2,2,3,0,4,-13.147374921702127,0,0,2195314464,1158725111,3,ok,
1,5,0.4,20,2,2,4,0,1,-13.147374921702129,0,0,2195314464,1158725111,4,ok,
1,5,0.4,20,2,2,5,0,1,-13.554585583091978,0,0,2195314464,1158725111,5,ok,
1,5,0.4,20,2,2,6,0,3,-13.554585583091981,0,0,2195314464,1158725111,6,ok,
1,5,0.4,20,2,2,7,0,0,-13.554585583091981,1,1,2195314464,1158725111,7,ok,
1,5,0.4,20,2,2,8,1,2,-13.708605055640938,0,1,2195314464,1158725111,8,ok,
1,5,0.4,20,2,2,9,1,4,-13.708605055640941,0,1,2195314464,1158725111,9,ok,
1,5,0.4,20,2,2,10,1,1,-13.708605055640941,0,1,2195314464,1158725111,10,ok,
2,5,0.4,20,1,1,1,3,0,-20.288153715423533,0,0,1322117303,175979944,1,ok,
2,5,0.4,20,1,1,2,2,0,-8.844740606368328,0,0,1322117303,175979944,2,ok,
2,5,0.4,20,1,1,3,3,0,-8.371409395030044,0,0,1322117303,175979944,3,ok,
2,5,0.4,20,1,1,4,3,1,-8.37140939503005,0,0,1322117303,175979944,4,ok,
2,5,0.4,20,1,1,5,2,0,-8.682392663715836,0,0,1322117303,175979944,5,ok,
2,5,0.4,20,1,1,6,3,0,-8.634188224340456,0,0,1322117303,175979944,6,ok,
2,5,0.4,20,1,1,7,3,1,-8.63418822434046,0,0,1322117303,175979944,7,ok,
2,5,0.4,20,1,1,8,2,1,-8.682392663715842,0,0,1322117303,175979944,8,ok,
2,5,0.4,20,1,1,9,1,0,-8.729400893083907,0,0,1322117303,175979944,9,ok,
2,5,0.4,20,1,1,10,1,1,-8.729400893083913,0,0,1322117303,175979944,10,ok,
2,5,0.4,20,1,2,1,3,0,-20.288153715423533,0,0,1322117303,175979944,1,ok,
2,5,0.4,20,1,2,2,2,0,-8.844740606368328,0,0,1322117303,175979944,2,ok,
2,5,0.4,20,1,2,3,3,0,-8.371409395030044,0,0,1322117303,175979944,3,ok,
2,5,0.4,20,1,2,4,3,1,-8.37140939503005,0,0,1322117303,175979944,4,ok,
2,5,0.4,20,1,2,5,3,2,-8.37140939503005,0,0,1322117303,175979944,5,ok,
2,5,0.4,20,1,2,6,2,3,-8.682392663715834,0,0,1322117303,175979944,6,ok,
2,5,0.4,20,1,2,7,3,2,-8.63418822434046,0,0,1322117303,175979944,7,ok,
2,5,0.4,20,1,2,8,3,1,-8.63418822434046,0,0,1322117303,175979944,8,ok,
2,5,0.4,20,1,2,9,3,0,-8.634188224340456,0,0,1322117303,175979944,9,ok,
2,5,0.4,20,1,2,10,2,2,-8.682392663715834,0,0,1322117303,175979944,10,ok,
2,5,0.4,20,2,1,1,3,0,-20.288153715423533,0,0,1322117303,175979944,1,ok,
2,5,0.4,20,2,1,2,3,0,-8.371409395030044,0,0,1322117303,175979944,2,ok,
2,5,0.4,20,2,1,3,3,1,-8.37140939503005,0,0,1322117303,175979944,3,ok,
2,5,0.4,20,2,1,4,3,0,-8.634188224340456,0,0,1322117303,175979944,4,ok,
2,5,0.4,20,2,1,5,3,1,-8.63418822434046,0,0,1322117303,175979944,5,ok,
2,5,0.4,20,2,1,6,2,0,-8.682392663715836,0,0,1322117303,175979944,6,ok,
2,5,0.4,20,2,1,7,2,1,-8.682392663715842,0,0,1322117303,175979944,7,ok,
2,5,0.4,20,2,1,8,2,0,-8.844740606368328,0,0,1322117303,175979944,8,ok,
2,5,0.4,20,2,1,9,1,0,-8.729400893083907,0,0,1322117303,175979944,9,ok,
2,5,0.4,20,2,1,10,1,1,-8.729400893083913,0,0,1322117303,175979944,10,ok,
2,5,0.4,20,2,2,1,3,0,-20.288153715423533,0,0,1322117303,175979944,1,ok,
2,5,0.4,20,2,2,2,3,0,-8.371409395030044,0,0,1322117303,175979944,2,ok,
2,5,0.4,20,2,2,3,3,1,-8.37140939503005,0,0,1322117303,175979944,3,ok,
2,5,0.4,20,2,2,4,3,2,-8.37140939503005,0,0,1322117303,175979944,4,ok,
2,5,0.4,20,2,2,5,3,0,-8.634188224340456,0,0,1322117303,175979944,5,ok,
2,5,0.4,20,2,2,6,3,2,-8.63418822434046,0,0,1322117303,175979944,6,ok,
2,5,0.4,20,2,2,7,3,1,-8.63418822434046,0,0,1322117303,175979944,7,ok,
2,5,0.4,20,2,2,8,2,3,-8.682392663715834,0,0,1322117303,175979944,8,ok,
2,5,0.4,20,2,2,9,2,2,-8.682392663715834,0,0,1322117303,175979944,9,ok,
2,5,0.4,20,2,2,10,3,3,-8.371409395030053,0,0,1322117303,175979944,10,ok,
3,5,0.4,20,1,1,1,1,0,-54.96473065561662,0,0,323153948,70985653,1,ok,
3,5,0.4,20,1,1,2,0,1,-44.80365672048574,0,0,323153948,70985653,2,ok,
3,5,0.4,20,1,1,3,1,0,-43.669273376987555,0,0,323153948,70985653,3,ok,
3,5,0.4,20,1,1,4,0,0,-44.80365672048574,1,1,323153948,70985653,4,ok,
3,5,0.4,20,1,1,5,1,1,-44.82847002077515,0,1,323153948,70985653,5,ok,
3,5,0.4,20,1,1,6,1,1,-44.82847002077515,0,1,323153948,70985653,6,ok,
3,5,0.4,20,1,1,7,2,0,-44.89311548010582,0,1,323153948,70985653,7,ok,
3,5,0.4,20,1,1,8,1,1,-45.06876532362505,0,1,323153948,70985653,8,ok,
3,5,0.4,20,1,1,9,2,0,-45.069543272687575,0,1,323153948,70985653,9,ok,
3,5,0.4,20,1,1,10,2,0,-44.96997776269475,0,1,323153948,70985653,10,ok,
3,5,0.4,20,1,2,1,1,0,-54.96473065561662,0,0,323153948,70985653,1,ok,
3,5,0.4,20,1,2,2,0,1,-44.80365672048574,0,0,323153948,70985653,2,ok,
3,5,0.4,20,1,2,3,1,0,-43.669273376987555,0,0,323153948,70985653,3,ok,
3,5,0.4,20,1,2,4,1,1,-43.669273376987555,0,0,323153948,70985653,4,ok,
3,5,0.4,20,1,2,5,0,1,-44.80365672048574,0,0,323153948,70985653,5,ok,
3,5,0.4,20,1,2,6,0,0,-44.80365672048574,1,1,323153948,70985653,6,ok,
3,5,0.4,20,1,2,7,1,1,-44.82847002077515,0,1,323153948,70985653,7,ok,
3,5,0.4,20,1,2,8,1,0,-44.82847002077515,0,1,323153948,70985653,8,ok,
3,5,0.4,20,1,2,9,1,1,-44.82847002077515,0,1,323153948,70985653,9,ok,
3,5,0.4,20,1,2,10,2,1,-44.89311548010582,0,1,323153948,70985653,10,ok,
3,5,0.4,20,2,1,1,1,0,-54.96473065561662,0,0,323153948,70985653,1,ok,
3,5,0.4,20,2,1,2,1,0,-43.669273376987555,0,0,323153948,70985653,2,ok,
