run_id,algorithm,d,density,n_samples,ds,dp,runtime_sec,graph_seed,noise_seed,status,error_message
0,pc,4,0.2,20,0.0,0.0,0.7480201278813183,3653403230,2735729614,ok,
0,ges,4,0.2,20,1.0,0.0,0.1366107629146427,3653403230,2735729614,ok,
0,boss,4,0.2,20,0.0,0.0,0.010125849861651659,3653403230,2735729614,ok,
1,pc,4,0.2,20,0.0,0.0,0.02276918408460915,2195314464,1158725111,ok,
1,ges,4,0.2,20,0.0,0.0,0.019509892910718918,2195314464,1158725111,ok,
1,boss,4,0.2,20,0.0,0.0,0.018104278948158026,2195314464,1158725111,ok,
2,pc,4,0.2,20,0.0,0.0,0.021720726042985916,1322117303,175979944,ok,
2,ges,4,0.2,20,0.0,0.0,0.018720088992267847,1322117303,175979944,ok,
2,boss,4,0.2,20,1.0,0.0,0.017075315117836,1322117303,175979944,ok,
3,pc,4,0.2,20,0.0,0.0,0.01336667314171791,323153948,70985653,ok,
3,ges,4,0.2,20,1.0,0.0,0.011546821100637317,323153948,70985653,ok,
3,boss,4,0.2,20,0.0,0.0,0.009978213114663959,323153948,70985653,ok,
4,pc,4,0.2,20,0.0,0.0,0.019211916020140052,752767290,3492969079,ok,
4,ges,4,0.2,20,0.0,0.0,0.01774335792288184,752767290,3492969079,ok,
4,boss,4,0.2,20,0.0,0.0,0.016458099940791726,752767290,3492969079,ok,
5,pc,4,0.2,20,0.0,0.0,0.020379974972456694,2789219405,3920255352,ok,
5,ges,4,0.2,20,0.0,0.0,0.01973125501535833,2789219405,3920255352,ok,
5,boss,4,0.2,20,0.0,0.0,0.01819021417759359,2789219405,3920255352,ok,
6,pc,4,0.2,20,0.0,0.0,0.020984804024919868,2163061374,2605480816,ok,
6,ges,4,0.2,20,0.0,0.0,0.01932260487228632,2163061374,2605480816,ok,
6,boss,4,0.2,20,0.0,0.0,0.01805245503783226,2163061374,2605480816,ok,
7,pc,4,0.2,20,1.0,0.0,0.027964197099208832,4169308740,3133163870,ok,
7,ges,4,0.2,20,1.0,0.0,0.023632166907191277,4169308740,3133163870,ok,
7,boss,4,0.2,20,0.0,0.0,0.021331359166651964,4169308740,3133163870,ok,
8,pc,4,0.2,20,1.0,0.0,0.01996863284148276,2715582398,2334851558,ok,
8,ges,4,0.2,20,1.0,1.0,0.012433292111381888,2715582398,2334851558,ok,
8,boss,4,0.2,20,0.0,0.0,0.016411839984357357,2715582398,2334851558,ok,
9,pc,4,0.2,20,0.0,0.0,0.0205179990734905,2404827116,4016105478,ok,
9,ges,4,0.2,20,0.0,0.0,0.019322459818795323,2404827116,4016105478,ok,
9,boss,4,0.2,20,0.0,0.0,0.01816741283982992,2404827116,4016105478,ok,
10,pc,4,0.2,20,1.0,0.0,0.02378184488043189,1191196491,3504064332,ok,
