algorithm,d,density,n_samples,n_valid,ds_mean,ds_std,ds_ci95_low,ds_ci95_high,dp_mean,dp_std,dp_ci95_low,dp_ci95_high,runtime_sec_mean,runtime_sec_std
boss,4,0.2,20,50,0.24,0.4314191105869,0.12041672357724931,0.3595832764227507,0.0,0.0,0.0,0.0,0.015427881302312017,0.0037350008930689214
boss,4,0.2,50,50,0.16,0.3703280399090206,0.05735030443298919,0.2626496955670108,0.0,0.0,0.0,0.0,0.015953845577314496,0.003920771744836059
boss,4,0.2,100,50,0.02,0.1414213562373095,0.0,0.0592,0.0,0.0,0.0,0.0,0.016993465106934308,0.003415029237866427
boss,4,0.2,500,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016383997378870845,0.003996427291231022
boss,4,0.2,1000,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015919048241339624,0.0038585848861260167
boss,4,0.2,5000,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015918466998264193,0.0037772187056926655
boss,4,0.2,10000,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01752229927573353,0.0035897552213895977
boss,4,0.5,20,50,1.3,0.8630747123996124,1.0607678951311093,1.5392321048688908,0.08,0.2740475156178697,0.0040379041889969935,0.155962095811003,0.013451611949130892,0.004088536751634095
boss,4,0.5,50,50,0.72,0.7295511619887831,0.5177787350450007,0.9222212649549992,0.18,0.5225526045191967,0.03515580784857128,0.3248441921514287,0.013461299086920918,0.004619134837176745
boss,4,0.5,100,50,0.38,0.8053393251117374,0.1567713280064588,0.6032286719935412,0.02,0.14142135623730948,0.0,0.05919999999999999,0.01192034584004432,0.004566904155204021
boss,4,0.5,500,50,0.08,0.27404751561786966,0.004037904188997007,0.155962095811003,0.08,0.39589732744431483,0.0,0.18973714047668638,0.012929441258311272,0.004323382917974382
boss,4,0.5,1000,50,0.02,0.1414213562373095,0.0,0.0592,0.04,0.282842712474619,0.0,0.1184,0.01343675094190985,0.004665463521867363
boss,4,0.5,5000,50,0.02,0.1414213562373095,0.0,0.0592,0.0,0.0,0.0,0.0,0.01256048169452697,0.004528284925545368
boss,4,0.5,10000,50,0.02,0.1414213562373095,0.0,0.0592,0.0,0.0,0.0,0.0,0.013809848092496396,0.005186239227344239
boss,4,0.8,20,50,1.9,1.0546302185881,1.6076714177505045,2.192328582249495,0.12,0.47979587496419046,0.0,0.25299263137482464,0.011539218686521054,0.0027903396823725666
boss,4,0.8,50,50,1.26,0.9216223495022464,1.0045393180937623,1.5154606819062377,0.18,0.48191793695522867,0.04641916305098248,0.3135808369490175,0.01062098219525069,0.00283235057755325
