d,density,n_samples,epsilon,delta,k,n_valid,ds_mean,ds_std,ds_ci95_low,ds_ci95_high,dp_mean,dp_std,dp_ci95_low,dp_ci95_high,bic_score_mean,bic_score_std,bic_score_ci95_low,bic_score_ci95_high,found_true_by_k_mean,found_true_by_k_std,found_true_by_k_ci95_low,found_true_by_k_ci95_high,is_true_at_k_mean,is_true_at_k_std,is_true_at_k_ci95_low,is_true_at_k_ci95_high
5,0.4,500,1,1,1,50,0.16,0.3703280399090206,0.05735030443298919,0.2626496955670108,0.06,0.3136356914300021,0.0,0.14693537829905612,-374.64932284282435,271.0922456029493,0.0,-299.5063860871941,0.84,0.3703280399090206,0.7373503044329892,0.9426496955670107,0.84,0.3703280399090206,0.7373503044329892,0.9426496955670107
5,0.4,500,1,1,2,50,0.4,0.5345224838248488,0.25183792658038295,0.5481620734196171,0.7,0.6776309271789384,0.5121702898900177,0.8878297101099822,-350.1998030088651,266.9789268260643,0.0,-276.1970200485592,0.88,0.3282607226593159,0.7890107698680773,0.9709892301319227,0.04,0.19794866372215741,0.0,0.09486857023834319
5,0.4,500,1,1,3,50,0.8,0.4948716593053935,0.6628285744041421,0.937171425595858,0.58,0.7309485031694877,0.3773914118305938,0.782608588169406,-351.0087296750903,266.79390922620905,0.0,-277.05723097698706,0.94,0.23989793748209523,0.8735036843125876,1.0064963156874123,0.06,0.23989793748209523,0.0,0.12649631568741232
5,0.4,500,1,1,4,50,1.12,0.558423436734059,0.9652129204358453,1.274787079564155,0.74,0.8283250865328128,0.5104,0.9696,-351.6723948430364,266.7423456770146,0.0,-277.7351888315697,0.94,0.23989793748209523,0.8735036843125876,1.0064963156874123,0.0,0.0,0.0,0.0
5,0.4,500,1,1,5,50,0.96,0.5699982098074287,0.8020045570277421,1.1179954429722578,0.74,0.777489418525016,0.5244909282651888,0.9555090717348111,-351.44881218337537,266.7501620789035,0.0,-277.50943957584286,0.94,0.23989793748209523,0.8735036843125876,1.0064963156874123,0.0,0.0,0.0,0.0
5,0.4,500,1,1,6,50,0.98,0.5529143565818179,0.8267399595458751,1.1332600404541249,0.74,0.750781905341195,0.5318938732281051,0.9481061267718949,-351.50111865335873,266.9609991551164,0.0,-277.5033049899105,0.98,0.1414213562373095,0.9408,1.0191999999999999,0.04,0.19794866372215741,0.0,0.09486857023834319
5,0.4,500,1,1,7,50,1.38,0.6966391622992348,1.1869014759248533,1.5730985240751465,0.78,0.9321907486328829,0.521609907310671,1.038390092689329,-352.2830341353281,267.0995897231896,0.0,-278.2468051263266,0.98,0.1414213562373095,0.9408,1.0191999999999999,0.0,0.0,0.0,0.0
5,0.4,500,1,1,8,50,1.22,0.5816935163286381,1.0587627834524547,1.3812372165475453,0.74,0.9435062700547638,0.47847340479408224,1.0015265952059178,-352.0855744662274,266.960019062873,0.0,-278.08803247048877,0.98,0.1414213562373095,0.9408,1.0191999999999999,0.0,0.0,0.0,0.0
5,0.4,500,1,1,9,50,1.12,0.5938459911664722,0.9553942892849705,1.2846057107150297,1.08,1.026982900320653,0.7953348633920903,1.36466513660791,-352.099054008106,266.92921787648754,0.0,-278.11004966565,0.98,0.1414213562373095,0.9408,1.0191999999999999,0.0,0.0,0.0,0.0
5,0.4,500,1,1,10,50,1.32,0.6207303137828695,1.1479423352477434,1.4920576647522568,0.86,1.0881551510024026,0.5583787805873068,1.1616212194126931,-352.3291415499871,266.8985132932805,0.0,-278.3486480837788,1.0,0.0,1.0,1.0,0.02,0.1414213562373095,0.0,0.0592
5,0.4,500,1,2,1,50,0.16,0.3703280399090206,0.05735030443298919,0.2626496955670108,0.06,0.3136356914300021,0.0,0.14693537829905612,-374.64932284282435,271.0922456029493,0.0,-299.5063860871941,0.84,0.3703280399090206,0.7373503044329892,0.9426496955670107,0.84,0.3703280399090206,0.7373503044329892,0.9426496955670107
5,0.4,500,1,2,2,50,0.3,0.5050762722761053,0.16000000000000003,0.43999999999999995,0.9,0.7071067811865476,0.7040000000000001,1.096,-349.94004123085017,267.06979757402206,0.0,-275.912070184284,0.86,0.3505098327538656,0.7628436311917741,0.9571563688082259,0.02,0.14142135623730948,0.0,0.05919999999999999
5,0.4,500,1,2,3,50,0.5,0.5802884574739972,0.3391522458969352,0.6608477541030648,1.34,1.1177601509724886,1.0301726932628437,1.6498273067371565,-350.0827440588652,267.1534507665685,0.0,-276.03158553032983,0.9,0.30304576336566325,0.8160000000000001,0.984,0.04,0.19794866372215741,0.0,0.09486857023834319
5,0.4,500,1,2,4,50,0.9,0.6468132241526726,0.7207125213518804,1.0792874786481197,1.4,1.2777531299998799,1.0458249020611414,1.7541750979388584,-350.82223016355834,266.93039222239685,0.0,-276.8329003090236,0.9,0.30304576336566325,0.8160000000000001,0.984,0.0,0.0,0.0,0.0
5,0.4,500,1,2,5,50,0.84,0.5480950312357394,0.688075808377994,0.991924191622006,1.32,1.331563451169262,0.9509094420064367,1.6890905579935636,-350.84590877355964,266.9636710914154,0.0,-276.84735448715526,0.92,0.27404751561786966,0.844037904188997,0.995962095811003,0.02,0.1414213562373095,0.0,0.0592
5,0.4,500,1,2,6,50,0.86,0.6064281507654607,0.6919066925781993,1.0280933074218006,1.06,1.2022088514268139,0.7267647077514149,1.393235292248585,-350.906952106756,267.01207426898816,0.0,-276.8949811440353,0.94,0.23989793748209526,0.8735036843125876,1.0064963156874123,0.02,0.1414213562373095,0.0,0.0592
