d,density,n_samples,epsilon,delta,n_runs,n_success,success_rate_within_kmax,recover_k_mean_found_only,recover_k_std_found_only,recover_k_ci95_low_found_only,recover_k_ci95_high_found_only
6,0.4,20,2,2,50,13,0.26,3.769230769230769,2.9482719841133536,2.1665318620800065,5.371929676381532
6,0.4,1000,2,2,50,49,0.98,1.1428571428571428,0.5773502691896258,0.9811990674840476,1.304515218230238
