run_id,d,density,n_samples,epsilon,delta,k,ds,dp,bic_score,is_true_at_k,found_true_by_k,graph_seed,noise_seed,frontier_size,status,error_message
0,8,0.4,20,1,1,1,9,10,-54.28259047435714,0,0,3653403230,2735729614,1,ok,
0,8,0.4,20,1,1,2,8,11,-40.845013585260986,0,0,3653403230,2735729614,2,ok,
0,8,0.4,20,1,1,3,7,10,-32.94836991730339,0,0,3653403230,2735729614,3,ok,
0,8,0.4,20,1,1,4,8,8,-31.200881198993187,0,0,3653403230,2735729614,4,ok,
0,8,0.4,20,1,1,5,7,8,-29.52423540544251,0,0,3653403230,2735729614,5,ok,
0,8,0.4,20,1,1,6,6,8,-28.32962385838053,0,0,3653403230,2735729614,6,ok,
0,8,0.4,20,1,1,7,7,7,-27.146970304602537,0,0,3653403230,2735729614,7,ok,
0,8,0.4,20,1,1,8,8,9,-26.342614560282865,0,0,3653403230,2735729614,8,ok,
0,8,0.4,20,1,1,9,9,9,-26.29211716215934,0,0,3653403230,2735729614,9,ok,
0,8,0.4,20,1,1,10,9,7,-26.29211716215934,0,0,3653403230,2735729614,10,ok,
1,8,0.4,20,1,1,1,8,1,-25.099473082308712,0,0,2195314464,1158725111,1,ok,
1,8,0.4,20,1,1,2,7,1,-21.72123682738436,0,0,2195314464,1158725111,2,ok,
1,8,0.4,20,1,1,3,8,1,-19.24217855174124,0,0,2195314464,1158725111,3,ok,
1,8,0.4,20,1,1,4,9,1,-16.887134771902314,0,0,2195314464,1158725111,4,ok,
1,8,0.4,20,1,1,5,8,1,-14.905184004936746,0,0,2195314464,1158725111,5,ok,
1,8,0.4,20,1,1,6,9,1,-13.989572865464272,0,0,2195314464,1158725111,6,ok,
1,8,0.4,20,1,1,7,8,2,-13.70970565972128,0,0,2195314464,1158725111,7,ok,
1,8,0.4,20,1,1,8,7,2,-13.503722293242692,0,0,2195314464,1158725111,8,ok,
1,8,0.4,20,1,1,9,6,2,-12.907810587483318,0,0,2195314464,1158725111,9,ok,
1,8,0.4,20,1,1,10,7,2,-12.721405425515375,0,0,2195314464,1158725111,10,ok,
2,8,0.4,20,1,1,1,10,1,-25.84684664767156,0,0,1322117303,175979944,1,ok,
2,8,0.4,20,1,1,2,11,1,-23.441682142582202,0,0,1322117303,175979944,2,ok,
2,8,0.4,20,1,1,3,12,1,-19.684749048217835,0,0,1322117303,175979944,3,ok,
2,8,0.4,20,1,1,4,11,1,-19.947287962360285,0,0,1322117303,175979944,4,ok,
2,8,0.4,20,1,1,5,13,1,-20.40731951952685,0,0,1322117303,175979944,5,ok,
2,8,0.4,20,1,1,6,12,1,-20.669858433669297,0,0,1322117303,175979944,6,ok,
2,8,0.4,20,1,1,7,13,1,-20.680107496911873,0,0,1322117303,175979944,7,ok,
2,8,0.4,20,1,1,8,12,2,-20.29897663728667,0,0,1322117303,175979944,8,ok,
2,8,0.4,20,1,1,9,11,2,-20.209613537174825,0,0,1322117303,175979944,9,ok,
2,8,0.4,20,1,1,10,13,2,-20.674991572219035,0,0,1322117303,175979944,10,ok,
3,8,0.4,20,1,1,1,7,0,-81.30714553185527,0,0,323153948,70985653,1,ok,
3,8,0.4,20,1,1,2,6,0,-78.7704676968977,0,0,323153948,70985653,2,ok,
3,8,0.4,20,1,1,3,5,1,-76.23871699146966,0,0,323153948,70985653,3,ok,
3,8,0.4,20,1,1,4,4,1,-74.16715517678153,0,0,323153948,70985653,4,ok,
3,8,0.4,20,1,1,5,3,1,-66.23357904939108,0,0,323153948,70985653,5,ok,
3,8,0.4,20,1,1,6,4,0,-64.43155600955788,0,0,323153948,70985653,6,ok,
3,8,0.4,20,1,1,7,3,0,-63.082676509977276,0,0,323153948,70985653,7,ok,
3,8,0.4,20,1,1,8,2,0,-55.96164735107226,0,0,323153948,70985653,8,ok,
3,8,0.4,20,1,1,9,1,0,-54.812061231927196,0,0,323153948,70985653,9,ok,
3,8,0.4,20,1,1,10,2,0,-54.51372174315717,0,0,323153948,70985653,10,ok,
4,8,0.4,20,1,1,1,3,0,-72.29013956122859,0,0,752767290,3492969079,1,ok,
4,8,0.4,20,1,1,2,2,0,-70.16019666124681,0,0,752767290,3492969079,2,ok,
4,8,0.4,20,1,1,3,1,0,-68.37434715844918,0,0,752767290,3492969079,3,ok,
