d,density,n_samples,epsilon,delta,k,n_valid,ds_mean,ds_std,ds_ci95_low,ds_ci95_high,dp_mean,dp_std,dp_ci95_low,dp_ci95_high,bic_score_mean,bic_score_std,bic_score_ci95_low,bic_score_ci95_high,found_true_by_k_mean,found_true_by_k_std,found_true_by_k_ci95_low,found_true_by_k_ci95_high,is_true_at_k_mean,is_true_at_k_std,is_true_at_k_ci95_low,is_true_at_k_ci95_high
8,0.4,20,1,1,1,50,6.66,1.9546908519074344,6.118187338649234,7.2018126613507665,1.02,1.8897143721111045,0.49619789996602726,1.5438021000339728,-44.82209959821592,25.667611951051533,0.0,-37.707400550974185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.4,20,1,1,2,50,6.14,2.1760289613919035,5.536835544813854,6.743164455186145,1.48,1.950824001727036,0.9392591748351157,2.0207408251648844,-36.656689951536244,22.84785403835176,0.0,-30.323587921313287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.4,20,1,1,3,50,5.82,2.5530294130059428,5.112336351081957,6.527663648918043,1.54,1.929470689815511,1.0051780109232604,2.0748219890767396,-32.575119099024384,22.157132152205023,0.0,-26.433475407607887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.4,20,1,1,4,50,5.46,2.7045690742798603,4.710331700016601,6.209668299983399,1.7,1.7756861278080076,1.2078049167250855,2.1921950832749144,-30.547616960900072,21.888523550327765,0.0,-24.480427775321573,0.04,0.19794866372215741,0.0,0.09486857023834319,0.04,0.19794866372215741,0.0,0.09486857023834319
8,0.4,20,1,1,5,50,5.18,2.8477703415773097,4.3906383338418316,5.969361666158168,1.7,1.8210783977117087,1.1952228214350415,2.2047771785649584,-29.278720219896314,21.462830235011722,0.0,-23.329527201264394,0.04,0.19794866372215741,0.0,0.09486857023834319,0.0,0.0,0.0,0.0
8,0.4,20,1,1,6,50,5.24,2.8107664725596297,4.460895283033148,6.019104716966853,1.64,1.7468338705866027,1.1558023544047327,2.124197645595267,-28.469904859060243,21.270559735884262,0.0,-22.574006503740343,0.06,0.23989793748209523,0.0,0.12649631568741232,0.02,0.14142135623730948,0.0,0.05919999999999999
8,0.4,20,1,1,7,50,5.24,2.889530715376121,4.439062948790606,6.0409370512093945,1.72,1.6786778081792437,1.2546942510563617,2.1853057489436383,-27.81532325322878,21.055364928455507,0.0,-21.97907385529161,0.06,0.23989793748209523,0.0,0.12649631568741232,0.0,0.0,0.0,0.0
8,0.4,20,1,1,8,50,5.3,2.6897386262518186,4.554442490481116,6.045557509518884,1.74,1.8273433375995292,1.2334862686955073,2.2465137313044927,-27.14657368406274,21.039872933070882,0.0,-21.314618448161877,0.06,0.23989793748209523,0.0,0.12649631568741232,0.0,0.0,0.0,0.0
8,0.4,20,1,1,9,50,5.52,2.8373600837570754,4.733523910090078,6.306476089909921,1.74,1.914605516996722,1.2092984266087012,2.2707015733912987,-26.962540852115808,21.082056783217894,0.0,-21.118892849508704,0.08,0.27404751561786966,0.004037904188997007,0.155962095811003,0.02,0.14142135623730948,0.0,0.05919999999999999
8,0.4,20,1,1,10,50,5.72,3.0104579623135646,4.885543626065449,6.554456373934551,1.78,1.764618245122839,1.290872777285909,2.269127222714091,-26.957756826498574,21.125061334831663,0.0,-21.102188570344822,0.08,0.27404751561786966,0.004037904188997007,0.155962095811003,0.0,0.0,0.0,0.0
