d,density,n_samples,epsilon,delta,k,n_valid,ds_mean,ds_std,ds_ci95_low,ds_ci95_high,dp_mean,dp_std,dp_ci95_low,dp_ci95_high,bic_score_mean,bic_score_std,bic_score_ci95_low,bic_score_ci95_high,found_true_by_k_mean,found_true_by_k_std,found_true_by_k_ci95_low,found_true_by_k_ci95_high,is_true_at_k_mean,is_true_at_k_std,is_true_at_k_ci95_low,is_true_at_k_ci95_high
10,0.4,20,2,2,1,50,12.0,2.75532878885513,11.236261824968793,12.763738175031207,3.06,3.019731032758395,2.2229732620758162,3.897026737924184,-59.586932734084364,24.922586789816428,0.0,-52.67874412555889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.4,20,2,2,2,50,11.16,2.9302086016151803,10.347787613982648,11.972212386017352,3.92,3.2878254087416727,3.008661292383562,4.831338707616438,-46.49377719932445,24.079385234799062,0.0,-39.81931213748323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.4,20,2,2,3,50,10.92,3.5619302265450834,9.932683313217082,11.907316686782918,4.14,2.9207910586283408,3.330398023717827,4.949601976282173,-41.02738422946779,23.286303861747612,0.0,-34.5727501086582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.4,20,2,2,4,50,10.74,3.9113127395976375,9.655839421487759,11.824160578512242,4.54,3.0519983416691137,3.6940292203627836,5.3859707796372165,-37.94758936307105,23.234380773753184,0.0,-31.507347587968894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.4,20,2,2,5,50,10.98,4.307042168924975,9.78614881999472,12.17385118000528,4.64,3.128277872724799,3.772885613082103,5.5071143869178965,-36.19421142507188,23.090332887303145,0.0,-29.79389768700089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.4,20,2,2,6,50,11.52,4.2725512141519175,10.335709224894494,12.704290775105505,4.84,3.026144580222195,4.001195517417795,5.678804482582205,-35.22716053746477,23.093939091887478,0.0,-28.825847210481136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.4,20,2,2,7,50,11.46,4.12661842091521,10.316159731431002,12.603840268569,4.78,3.2343185258305365,3.8834926436442365,5.6765073563557635,-34.69621810359511,22.94918262090925,0.0,-28.335029223253215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.4,20,2,2,8,50,11.7,3.9705548884820847,10.59941833560612,12.800581664393878,4.86,3.2262317691962905,3.965734178222158,5.754265821777842,-34.20707262889546,22.747136714364608,0.0,-27.90188801656002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.4,20,2,2,9,50,11.76,3.977282427764475,10.657553556856389,12.862446443143611,4.88,3.081478574334346,4.025857716770794,5.734142283229206,-34.03580825309942,22.81045387848152,0.0,-27.71307301828785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.4,20,2,2,10,50,11.88,3.8684490379457857,10.807720633416833,12.952279366583168,5.18,2.967098493374926,4.357562257675391,6.0024377423246085,-33.8337560752168,22.860013693577443,0.0,-27.497283560524387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
