run_id,d,density,n_samples,epsilon,delta,k,ds,dp,bic_score,is_true_at_k,found_true_by_k,graph_seed,noise_seed,frontier_size,status,error_message
5,10,0.4,20,2,2,7,9,5,-40.66959527599262,0,0,2789219405,3920255352,7,ok,
5,10,0.4,20,2,2,8,9,4,-40.66959527599262,0,0,2789219405,3920255352,8,ok,
5,10,0.4,20,2,2,9,9,5,-40.66959527599263,0,0,2789219405,3920255352,9,ok,
5,10,0.4,20,2,2,10,7,3,-40.695547271220285,0,0,2789219405,3920255352,10,ok,
6,10,0.4,20,2,2,1,11,1,-95.64159575535017,0,0,2163061374,2605480816,1,ok,
6,10,0.4,20,2,2,2,9,3,-75.36107954690831,0,0,2163061374,2605480816,2,ok,
6,10,0.4,20,2,2,3,7,4,-69.69017660046839,0,0,2163061374,2605480816,3,ok,
6,10,0.4,20,2,2,4,7,4,-67.70327649955816,0,0,2163061374,2605480816,4,ok,
6,10,0.4,20,2,2,5,8,4,-67.37011683283241,0,0,2163061374,2605480816,5,ok,
6,10,0.4,20,2,2,6,8,3,-67.37011683283241,0,0,2163061374,2605480816,6,ok,
6,10,0.4,20,2,2,7,8,2,-67.37011683283241,0,0,2163061374,2605480816,7,ok,
6,10,0.4,20,2,2,8,8,3,-67.37011683283242,0,0,2163061374,2605480816,8,ok,
6,10,0.4,20,2,2,9,9,4,-67.41150897639983,0,0,2163061374,2605480816,9,ok,
6,10,0.4,20,2,2,10,9,3,-67.41150897639983,0,0,2163061374,2605480816,10,ok,
7,10,0.4,20,2,2,1,13,1,-55.53081974171488,0,0,4169308740,3133163870,1,ok,
7,10,0.4,20,2,2,2,11,1,-46.568054473146205,0,0,4169308740,3133163870,2,ok,
7,10,0.4,20,2,2,3,9,2,-39.83106886628129,0,0,4169308740,3133163870,3,ok,
7,10,0.4,20,2,2,4,11,2,-35.082256926216665,0,0,4169308740,3133163870,4,ok,
7,10,0.4,20,2,2,5,13,3,-30.565451388723595,0,0,4169308740,3133163870,5,ok,
7,10,0.4,20,2,2,6,15,3,-26.439358366843827,0,0,4169308740,3133163870,6,ok,
7,10,0.4,20,2,2,7,15,3,-23.148904610865273,0,0,4169308740,3133163870,7,ok,
7,10,0.4,20,2,2,8,16,3,-22.495283408850277,0,0,4169308740,3133163870,8,ok,
7,10,0.4,20,2,2,9,16,3,-22.643065619779357,0,0,4169308740,3133163870,9,ok,
7,10,0.4,20,2,2,10,16,3,-22.89899588709683,0,0,4169308740,3133163870,10,ok,
8,10,0.4,20,2,2,1,15,8,-84.28088010748812,0,0,2715582398,2334851558,1,ok,
8,10,0.4,20,2,2,2,15,10,-65.05662114665844,0,0,2715582398,2334851558,2,ok,
8,10,0.4,20,2,2,3,17,9,-60.60224278324496,0,0,2715582398,2334851558,3,ok,
8,10,0.4,20,2,2,4,17,10,-57.29888050501416,0,0,2715582398,2334851558,4,ok,
8,10,0.4,20,2,2,5,19,10,-53.53752886301105,0,0,2715582398,2334851558,5,ok,
8,10,0.4,20,2,2,6,20,10,-52.98020731335723,0,0,2715582398,2334851558,6,ok,
8,10,0.4,20,2,2,7,20,11,-53.17785913825032,0,0,2715582398,2334851558,7,ok,
8,10,0.4,20,2,2,8,20,10,-53.418616538133804,0,0,2715582398,2334851558,8,ok,
8,10,0.4,20,2,2,9,21,10,-53.52952255320209,0,0,2715582398,2334851558,9,ok,
8,10,0.4,20,2,2,10,21,10,-53.615629540147125,0,0,2715582398,2334851558,10,ok,
9,10,0.4,20,2,2,1,12,2,-48.67625550959937,0,0,2404827116,4016105478,1,ok,
9,10,0.4,20,2,2,2,10,2,-39.49727060650946,0,0,2404827116,4016105478,2,ok,
9,10,0.4,20,2,2,3,8,2,-33.77375310848011,0,0,2404827116,4016105478,3,ok,
9,10,0.4,20,2,2,4,6,3,-27.690364409453935,0,0,2404827116,4016105478,4,ok,
9,10,0.4,20,2,2,5,4,4,-23.429594259043967,0,0,2404827116,4016105478,5,ok,
9,10,0.4,20,2,2,6,6,4,-22.202246214511742,0,0,2404827116,4016105478,6,ok,
9,10,0.4,20,2,2,7,6,5,-21.62502371734491,0,0,2404827116,4016105478,7,ok,
9,10,0.4,20,2,2,8,8,5,-20.120992262890873,0,0,2404827116,4016105478,8,ok,
9,10,0.4,20,2,2,9,7,5,-20.220096241165784,0,0,2404827116,4016105478,9,ok,
9,10,0.4,20,2,2,10,7,6,-19.398112401233853,0,0,2404827116,4016105478,10,ok,
10,10,0.4,20,2,2,1,12,2,-77.58656080386733,0,0,1191196491,3504064332,1,ok,
10,10,0.4,20,2,2,2,10,2,-55.84012129115558,0,0,1191196491,3504064332,2,ok,
10,10,0.4,20,2,2,3,10,2,-51.25469894067399,0,0,1191196491,3504064332,3,ok,
10,10,0.4,20,2,2,4,8,3,-48.16635279501665,0,0,1191196491,3504064332,4,ok,
10,10,0.4,20,2,2,5,8,4,-46.501605762683525,0,0,1191196491,3504064332,5,ok,
10,10,0.4,20,2,2,6,10,6,-45.730188180313,0,0,1191196491,3504064332,6,ok,
10,10,0.4,20,2,2,7,11,8,-45.15522929924791,0,0,1191196491,3504064332,7,ok,
10,10,0.4,20,2,2,8,11,9,-45.06673070388141,0,0,1191196491,3504064332,8,ok,
10,10,0.4,20,2,2,9,11,11,-45.066730703881426,0,0,1191196491,3504064332,9,ok,
10,10,0.4,20,2,2,10,12,11,-45.05971051267284,0,0,1191196491,3504064332,10,ok,
11,10,0.4,20,2,2,1,11,2,-84.37238564212313,0,0,2881392815,11761767,1,ok,
11,10,0.4,20,2,2,2,9,3,-78.11563244971003,0,0,2881392815,11761767,2,ok,
11,10,0.4,20,2,2,3,11,3,-75.26779883702932,0,0,2881392815,11761767,3,ok,
11,10,0.4,20,2,2,4,9,4,-73.41052828663797,0,0,2881392815,11761767,4,ok,
11,10,0.4,20,2,2,5,7,3,-71.39413620269607,0,0,2881392815,11761767,5,ok,
11,10,0.4,20,2,2,6,9,3,-71.02060779186999,0,0,2881392815,11761767,6,ok,
11,10,0.4,20,2,2,7,11,4,-70.98977287267178,0,0,2881392815,11761767,7,ok,
11,10,0.4,20,2,2,8,11,6,-71.351296547933,0,0,2881392815,11761767,8,ok,
11,10,0.4,20,2,2,9,11,5,-71.351296547933,0,0,2881392815,11761767,9,ok,
11,10,0.4,20,2,2,10,11,5,-71.351296547933,0,0,2881392815,11761767,10,ok,
12,10,0.4,20,2,2,1,11,5,-101.8111326174608,0,0,1692857839,3682523326,1,ok,
12,10,0.4,20,2,2,2,9,6,-79.671927149174,0,0,1692857839,3682523326,2,ok,
12,10,0.4,20,2,2,3,7,4,-68.69539894555894,0,0,1692857839,3682523326,3,ok,
12,10,0.4,20,2,2,4,5,2,-63.220055407578926,0,0,1692857839,3682523326,4,ok,
12,10,0.4,20,2,2,5,3,1,-61.71729708165097,0,0,1692857839,3682523326,5,ok,
12,10,0.4,20,2,2,6,3,1,-60.588733467049536,0,0,1692857839,3682523326,6,ok,
12,10,0.4,20,2,2,7,1,0,-60.34780933553644,0,0,1692857839,3682523326,7,ok,
12,10,0.4,20,2,2,8,2,0,-60.103315044376956,0,0,1692857839,3682523326,8,ok,
12,10,0.4,20,2,2,9,2,1,-60.10331504437697,0,0,1692857839,3682523326,9,ok,
12,10,0.4,20,2,2,10,2,3,-60.10331504437694,0,0,1692857839,3682523326,10,ok,
13,10,0.4,20,2,2,1,9,1,-36.795276182945614,0,0,2380764446,144248946,1,ok,
13,10,0.4,20,2,2,2,7,2,-29.773525083812395,0,0,2380764446,144248946,2,ok,
13,10,0.4,20,2,2,3,7,2,-29.53078457681467,0,0,2380764446,144248946,3,ok,
13,10,0.4,20,2,2,4,7,2,-29.281273928705446,0,0,2380764446,144248946,4,ok,
13,10,0.4,20,2,2,5,7,1,-29.281273928705446,0,0,2380764446,144248946,5,ok,
13,10,0.4,20,2,2,6,7,4,-29.28127392870545,0,0,2380764446,144248946,6,ok,
13,10,0.4,20,2,2,7,8,2,-29.35001934739279,0,0,2380764446,144248946,7,ok,
13,10,0.4,20,2,2,8,8,1,-29.35001934739279,0,0,2380764446,144248946,8,ok,
13,10,0.4,20,2,2,9,8,4,-29.350019347392795,0,0,2380764446,144248946,9,ok,
13,10,0.4,20,2,2,10,9,6,-29.464680281223686,0,0,2380764446,144248946,10,ok,
14,10,0.4,20,2,2,1,9,1,-88.03690146318309,0,0,3285177208,3133846278,1,ok,
14,10,0.4,20,2,2,2,7,1,-80.3143164747743,0,0,3285177208,3133846278,2,ok,
14,10,0.4,20,2,2,3,5,1,-76.09941604870288,0,0,3285177208,3133846278,3,ok,
14,10,0.4,20,2,2,4,5,2,-72.42941515509226,0,0,3285177208,3133846278,4,ok,
14,10,0.4,20,2,2,5,7,2,-69.7850115421863,0,0,3285177208,3133846278,5,ok,
14,10,0.4,20,2,2,6,9,2,-68.49042294012541,0,0,3285177208,3133846278,6,ok,
14,10,0.4,20,2,2,7,9,2,-67.66317658423313,0,0,3285177208,3133846278,7,ok,
14,10,0.4,20,2,2,8,11,2,-66.69484544013538,0,0,3285177208,3133846278,8,ok,
14,10,0.4,20,2,2,9,11,3,-66.73431804726575,0,0,3285177208,3133846278,9,ok,
14,10,0.4,20,2,2,10,10,3,-66.48448303815779,0,0,3285177208,3133846278,10,ok,
15,10,0.4,20,2,2,1,14,1,-66.95679526565533,0,0,3636012965,754435144,1,ok,
