d,density,n_samples,epsilon,delta,n_runs,n_success,success_rate_within_kmax,recover_k_mean_found_only,recover_k_std_found_only,recover_k_ci95_low_found_only,recover_k_ci95_high_found_only
6,0.4,1000,1,1,50,49,0.98,1.3061224489795917,1.0449099170234137,1.0135476722130359,1.5986972257461476
6,0.4,1000,1,2,50,46,0.92,1.173913043478261,0.7973385681569226,0.9434931733929302,1.4043329135635918
6,0.4,1000,2,1,50,50,1.0,1.3,0.9948848769417229,1.0242319815497092,1.575768018450291
6,0.4,1000,2,2,50,48,0.96,1.3125,1.0749814446691528,1.0083859950377418,1.6166140049622582
