d,density,n_samples,epsilon,delta,k,n_valid,ds_mean,ds_std,ds_ci95_low,ds_ci95_high,dp_mean,dp_std,dp_ci95_low,dp_ci95_high,bic_score_mean,bic_score_std,bic_score_ci95_low,bic_score_ci95_high,found_true_by_k_mean,found_true_by_k_std,found_true_by_k_ci95_low,found_true_by_k_ci95_high,is_true_at_k_mean,is_true_at_k_std,is_true_at_k_ci95_low,is_true_at_k_ci95_high
8,0.4,1000,2,2,1,50,0.32,0.7406560798180412,0.11470060886597838,0.5252993911340216,0.24,0.6246631745450127,0.06685220186210858,0.4131477981378914,-1021.8193531556506,944.257868303914,0.0,-760.0844255440015,0.78,0.4184519575964803,0.6640110350076354,0.8959889649923647,0.78,0.4184519575964803,0.6640110350076354,0.8959889649923647
8,0.4,1000,2,2,2,50,0.5,0.6468132241526726,0.3207125213518803,0.6792874786481198,1.12,0.895339406628137,0.8718245781710043,1.3681754218289959,-951.9871928647077,906.8321081241302,0.0,-700.6261567082199,0.78,0.4184519575964803,0.6640110350076354,0.8959889649923647,0.0,0.0,0.0,0.0
8,0.4,1000,2,2,3,50,0.62,0.5674864018868916,0.46270079466189284,0.7772992053381071,1.42,1.051529498261597,1.1285308935753222,1.7114691064246776,-952.3945541078209,906.9668822596387,0.0,-700.9961604669156,0.8,0.40406101782088427,0.6880000000000001,0.912,0.02,0.14142135623730948,0.0,0.05919999999999999
8,0.4,1000,2,2,4,50,0.68,0.5869325309764039,0.5173106026810599,0.8426893973189402,1.24,1.3180071536766624,0.8746670559612779,1.605332944038722,-952.5808084823858,906.9887215248935,0.0,-701.1763613059978,0.82,0.38808793449160356,0.7124275128111281,0.9275724871888718,0.02,0.1414213562373095,0.0,0.0592
8,0.4,1000,2,2,5,50,0.9,0.7071067811865476,0.7040000000000001,1.096,1.26,1.208980005236325,0.9248878396715512,1.5951121603284488,-952.9540823556787,906.9979818385667,0.0,-701.5470683512978,0.84,0.3703280399090206,0.7373503044329892,0.9426496955670107,0.02,0.14142135623730948,0.0,0.05919999999999999
8,0.4,1000,2,2,6,50,1.02,0.795138288575757,0.7995989110734705,1.2404010889265296,1.04,1.1421426337889533,0.7234142138377025,1.3565857861622974,-953.0483826865071,907.0173548987452,0.0,-701.6359987438142,0.84,0.3703280399090206,0.7373503044329892,0.9426496955670107,0.0,0.0,0.0,0.0
8,0.4,1000,2,2,7,50,1.06,0.5858884758402823,0.8976000000000001,1.2224,1.28,1.2623269733928297,0.930100814519382,1.629899185480618,-953.186141640652,906.8772589199966,0.0,-701.8125903220623,0.88,0.3282607226593159,0.7890107698680773,0.9709892301319227,0.04,0.19794866372215744,0.0,0.09486857023834319
8,0.4,1000,2,2,8,50,0.96,0.6688399948982643,0.7746070119988353,1.1453929880011646,1.36,1.4674704043881437,0.9532379565396989,1.7667620434603013,-953.1172626111684,906.8432535956969,0.0,-701.753137087579,0.9,0.30304576336566325,0.8160000000000001,0.984,0.02,0.1414213562373095,0.0,0.0592
8,0.4,1000,2,2,9,50,1.02,0.6223720260226275,0.8474872758316072,1.1925127241683928,1.56,1.3726185313673502,1.1795295543672282,1.940470445632772,-953.3197433536866,906.9467678278273,0.0,-701.9269251488256,0.9,0.30304576336566325,0.8160000000000001,0.984,0.0,0.0,0.0,0.0
8,0.4,1000,2,2,10,50,1.04,0.7548482750641661,0.8307667330465827,1.2492332669534174,1.1,1.4463183379511848,0.6991010102282622,1.500898989771738,-953.3245338536364,906.8931679249403,0.0,-701.946572783858,0.92,0.27404751561786966,0.844037904188997,0.995962095811003,0.02,0.14142135623730948,0.0,0.05919999999999999
