d,density,n_samples,epsilon,delta,k,n_valid,ds_mean,ds_std,ds_ci95_low,ds_ci95_high,dp_mean,dp_std,dp_ci95_low,dp_ci95_high,bic_score_mean,bic_score_std,bic_score_ci95_low,bic_score_ci95_high,found_true_by_k_mean,found_true_by_k_std,found_true_by_k_ci95_low,found_true_by_k_ci95_high,is_true_at_k_mean,is_true_at_k_std,is_true_at_k_ci95_low,is_true_at_k_ci95_high
8,0.4,20,2,2,1,50,6.66,2.0663484503750444,6.0872374313906334,7.232762568609367,0.84,1.3903457212110217,0.4546158280364903,1.2253841719635097,-43.28864295263913,23.578281470330534,0.0,-36.75307676781196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.4,20,2,2,2,50,5.62,2.4568936750727017,4.938983818107088,6.301016181892912,1.54,1.32803368533624,1.1718878431781965,1.9081121568218036,-31.698100299675357,21.656774335421005,0.0,-25.69514871912379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.4,20,2,2,3,50,5.04,2.7476149211820133,4.2783999999999995,5.8016000000000005,2.14,1.5254306852525958,1.7171721863453162,2.562827813654684,-28.21828523391482,21.132304282033587,0.0,-22.360709335224822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.4,20,2,2,4,50,5.16,2.8382230715857473,4.373284702068149,5.946715297931851,2.5,1.619397721250662,2.0511258528273206,2.9488741471726794,-26.9012500377802,20.97194707746613,0.0,-21.088122888460816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.4,20,2,2,5,50,5.74,2.693984227943468,4.993265669732535,6.486734330267465,2.58,2.0212140219306267,2.0197480566744996,3.1402519433255005,-26.303454142123815,20.94018694967843,0.0,-20.499130451082603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.4,20,2,2,6,50,6.2,2.762725657973388,5.434211517454069,6.965788482545931,2.74,2.0082482975194567,2.1833419721229204,3.29665802787708,-26.115009046887575,20.96286800281185,0.0,-20.304398488668127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.4,20,2,2,7,50,6.0,2.906712849910829,5.194300304083463,6.805699695916537,2.38,2.0090611067392263,1.8231166729017647,2.936883327098235,-26.10617827315428,20.940359089067233,0.0,-20.30180686750885,0.02,0.14142135623730948,0.0,0.05919999999999999,0.02,0.14142135623730948,0.0,0.05919999999999999
8,0.4,20,2,2,8,50,6.28,2.7333167412803197,5.522363253267109,7.0376367467328915,2.58,2.374094886606735,1.9219344713480275,3.2380655286519726,-26.08942894738056,20.95204440099387,0.0,-20.281818538520117,0.02,0.14142135623730948,0.0,0.05919999999999999,0.0,0.0,0.0,0.0
8,0.4,20,2,2,9,50,6.62,2.798614817719506,5.844263549908862,7.395736450091138,2.74,1.9567778596040826,2.197608849629716,3.2823911503702843,-26.09477562601072,20.88940872425895,0.0,-20.304526940961555,0.02,0.14142135623730948,0.0,0.05919999999999999,0.0,0.0,0.0,0.0
8,0.4,20,2,2,10,50,6.42,2.9698484809835,5.5968,7.2432,2.92,1.9881280293845487,2.368919025913614,3.471080974086386,-26.04191834929473,20.909342338395486,0.0,-20.246144348303602,0.02,0.14142135623730948,0.0,0.05919999999999999,0.0,0.0,0.0,0.0
