run_id,d,density,n_samples,epsilon,delta,k,ds,dp,bic_score,is_true_at_k,found_true_by_k,graph_seed,noise_seed,frontier_size,status,error_message
0,8,0.4,20,2,2,1,6,4,-47.11849961031426,0,0,3653403230,2735729614,1,ok,
0,8,0.4,20,2,2,2,6,2,-34.895122557251035,0,0,3653403230,2735729614,2,ok,
0,8,0.4,20,2,2,3,6,3,-29.408017922172885,0,0,3653403230,2735729614,3,ok,
0,8,0.4,20,2,2,4,6,3,-27.680874730498683,0,0,3653403230,2735729614,4,ok,
0,8,0.4,20,2,2,5,6,2,-27.680874730498683,0,0,3653403230,2735729614,5,ok,
0,8,0.4,20,2,2,6,6,5,-27.68087473049869,0,0,3653403230,2735729614,6,ok,
0,8,0.4,20,2,2,7,6,7,-26.786698843925553,0,0,3653403230,2735729614,7,ok,
0,8,0.4,20,2,2,8,8,9,-26.36553661013928,0,0,3653403230,2735729614,8,ok,
0,8,0.4,20,2,2,9,9,9,-26.29211716215934,0,0,3653403230,2735729614,9,ok,
0,8,0.4,20,2,2,10,9,7,-26.29211716215934,0,0,3653403230,2735729614,10,ok,
1,8,0.4,20,2,2,1,7,0,-28.233444828917534,0,0,2195314464,1158725111,1,ok,
1,8,0.4,20,2,2,2,7,1,-18.608662573667743,0,0,2195314464,1158725111,2,ok,
1,8,0.4,20,2,2,3,7,2,-13.709192972179967,0,0,2195314464,1158725111,3,ok,
1,8,0.4,20,2,2,4,7,3,-12.749217234347217,0,0,2195314464,1158725111,4,ok,
1,8,0.4,20,2,2,5,8,3,-12.56281207237927,0,0,2195314464,1158725111,5,ok,
1,8,0.4,20,2,2,6,9,3,-12.495634820819419,0,0,2195314464,1158725111,6,ok,
1,8,0.4,20,2,2,7,9,3,-12.495634820819422,0,0,2195314464,1158725111,7,ok,
1,8,0.4,20,2,2,8,9,2,-12.495634820819422,0,0,2195314464,1158725111,8,ok,
1,8,0.4,20,2,2,9,11,3,-12.531134782223255,0,0,2195314464,1158725111,9,ok,
1,8,0.4,20,2,2,10,11,3,-12.531134782223255,0,0,2195314464,1158725111,10,ok,
2,8,0.4,20,2,2,1,10,1,-25.84684664767156,0,0,1322117303,175979944,1,ok,
2,8,0.4,20,2,2,2,12,1,-19.684749048217835,0,0,1322117303,175979944,2,ok,
2,8,0.4,20,2,2,3,13,2,-19.92924966827749,0,0,1322117303,175979944,3,ok,
2,8,0.4,20,2,2,4,13,3,-19.929249668277485,0,0,1322117303,175979944,4,ok,
2,8,0.4,20,2,2,5,11,1,-19.947287962360285,0,0,1322117303,175979944,5,ok,
2,8,0.4,20,2,2,6,12,3,-20.191788582419935,0,0,1322117303,175979944,6,ok,
2,8,0.4,20,2,2,7,12,2,-20.19178858241994,0,0,1322117303,175979944,7,ok,
2,8,0.4,20,2,2,8,11,2,-20.209613537174825,0,0,1322117303,175979944,8,ok,
2,8,0.4,20,2,2,9,12,2,-20.29897663728667,0,0,1322117303,175979944,9,ok,
2,8,0.4,20,2,2,10,13,1,-20.40731951952685,0,0,1322117303,175979944,10,ok,
3,8,0.4,20,2,2,1,7,0,-81.30714553185527,0,0,323153948,70985653,1,ok,
3,8,0.4,20,2,2,2,5,0,-71.3020075897767,0,0,323153948,70985653,2,ok,
3,8,0.4,20,2,2,3,5,1,-62.37895539103847,0,0,323153948,70985653,3,ok,
3,8,0.4,20,2,2,4,3,1,-57.31052685065287,0,0,323153948,70985653,4,ok,
3,8,0.4,20,2,2,5,1,1,-54.81206123192719,0,0,323153948,70985653,5,ok,
3,8,0.4,20,2,2,6,2,1,-54.166641984428246,0,0,323153948,70985653,6,ok,
